PomBaseIDs,medium,replicate,proteome_fraction
SPAC3F10.03,Glu,1,8.320837932032536e-4
SPCC191.02c,Glu,1,8.219494210378563e-4
SPBP35G2.07,Glu,1,7.185961776810608e-4
SPBC1773.07c,Glu,1,5.277979539626568e-4
SPBC2F12.14c,Glu,1,0.001395603148752833
SPAC4A8.04,Glu,1,1.1783116332594315e-4
SPBC19C7.06,Glu,1,8.895031414773284e-4
SPAC1687.06c,Glu,1,0.0010580135909423493
SPBC1703.10,Glu,1,4.0177264059487223e-4
SPBC16C6.11,Glu,1,7.517987856802764e-4
SPBC17G9.09,Glu,1,8.720085104784464e-4
SPBC29B5.03c,Glu,1,0.0013529965084578075
SPBP4G3.02,Glu,1,0.004318105331938521
SPAC27F1.02c,Glu,1,3.775465083590476e-4
SPBC2F12.04,Glu,1,0.0014634217050735429
SPCC622.09,Glu,1,4.589061497311098e-4
SPCC962.04,Glu,1,0.0021739117637099847
SPAC23C11.09,Glu,1,6.017762290700822e-4
SPCC330.14c;SPAC6G9.09c,Glu,1,9.294552258241908e-4
SPAC24C9.08,Glu,1,2.2787637609381425e-4
SPCC1322.13,Glu,1,5.426586205721436e-4
SPBC2D10.10c,Glu,1,4.989272684704976e-4
SPAC5H10.03,Glu,1,9.372501775636464e-4
SPAC13G6.06c,Glu,1,7.770132027286201e-4
SPAC23D3.04c,Glu,1,6.747275389369052e-4
SPBC16G5.05c,Glu,1,8.108249039191284e-4
SPAC637.05c,Glu,1,7.552601635376677e-4
SPCC794.07,Glu,1,6.948149887104861e-4
SPAC19A8.04,Glu,1,5.830470112804478e-4
SPBC685.07c,Glu,1,0.0020148932302768486
SPAC11E3.15,Glu,1,0.0012845892425721657
SPAC17G6.14c,Glu,1,9.575333829891365e-4
SPAC9G1.03c,Glu,1,9.249835248193261e-4
SPBC1711.13,Glu,1,5.073694762901519e-4
SPBC17D11.05,Glu,1,6.387655166351505e-4
SPAC29A4.15,Glu,1,6.409472567914648e-4
SPAC25G10.05c,Glu,1,7.150317749414196e-4
SPAC11D3.07c,Glu,1,5.117927932157065e-4
SPCC1672.05c,Glu,1,4.4556085366752345e-4
SPAC4A8.16c,Glu,1,6.347481125202658e-4
SPCC613.10,Glu,1,7.058749580263205e-4
SPBC8D2.03c;SPBC1105.12;SPAC1834.03c,Glu,1,6.582050090254447e-4
SPAC19G12.09,Glu,1,2.2127597919805188e-4
SPCC1827.03c,Glu,1,8.819975841448416e-4
SPAC959.08,Glu,1,0.0010419939824350465
SPBC1198.08,Glu,1,6.151922363197927e-4
SPAC343.16,Glu,1,4.891824907971505e-4
SPBP16F5.08c,Glu,1,3.1669440106067524e-4
SPCC306.09c,Glu,1,4.739474775165304e-4
SPBC530.07c,Glu,1,6.433267923374284e-4
SPBC4C3.10c,Glu,1,2.3977302566246755e-4
SPBC1921.01c,Glu,1,3.300641793942202e-4
SPBC26H8.07c,Glu,1,0.001160759980444035
SPCC584.01c,Glu,1,0.001097251727910525
SPBC3F6.03,Glu,1,9.389400854885798e-4
