PomBaseIDs,annotations,class,subclass
SPCC1259.05c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1259.09c,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPCC1259.11c,vesicle-mediated transport,6: Other metabolism,NA
SPCC126.08c,vesicle-mediated transport,6: Other metabolism,NA
SPCC126.09,transmembrane transport,6: Other metabolism,NA
SPCC126.10,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPCC1281.01,carbohydrate metabolic process,6: Other metabolism,NA
SPCC1281.06c,lipid metabolic process,4: Lipids,NA
SPCC132.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1322.04,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1322.11;SPAC3G9.03,translation,0: Translation/RiBi,NA
SPCC1322.13,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1322.14c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC1393.03,translation,0: Translation/RiBi,NA
SPCC1393.06c,translation,0: Translation/RiBi,NA
SPCC1393.10,transmembrane transport,6: Other metabolism,NA
SPCC13B11.01,generation of precursor metabolites and energy,2: Precursors/Energy,Fermentation: Adh1
SPCC13B11.04c,cellular amino acid metabolic process;generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC1442.03,transmembrane transport,6: Other metabolism,NA
SPCC1442.08c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1442.09,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1442.14c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1442.17c,vesicle-mediated transport,6: Other metabolism,NA
SPCC1450.03,translation,0: Translation/RiBi,NA
SPCC1450.04,translation,0: Translation/RiBi,NA
SPCC1450.06c,sulfur compound metabolic process,6: Other metabolism,NA
SPCC1450.07c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1450.13c,vitamin metabolic process,5: Vitamins,NA
SPCC1450.15,lipid metabolic process,4: Lipids,NA
SPCC1494.04c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1494.06c,translation,0: Translation/RiBi,NA
SPCC14G10.01,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC14G10.02,translation,0: Translation/RiBi,NA
SPCC162.06c,vesicle-mediated transport,6: Other metabolism,NA
SPCC162.07,vesicle-mediated transport,6: Other metabolism,NA
SPCC162.09c,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPCC162.11c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1620.01c,translation,0: Translation/RiBi,NA
SPCC1620.05,vesicle-mediated transport,6: Other metabolism,NA
SPCC1620.06c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1620.08,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPCC1620.12c,vesicle-mediated transport,6: Other metabolism,NA
SPCC1672.03c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1672.05c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1672.06c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC1672.07,translation,0: Translation/RiBi,NA
SPCC1672.09,lipid metabolic process,4: Lipids,NA
SPCC1672.11c,transmembrane transport,6: Other metabolism,NA
SPCC1682.01,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1682.09c,transmembrane transport,6: Other metabolism,NA
SPCC1682.11c,transmembrane transport,6: Other metabolism,NA
SPCC1682.14,translation,0: Translation/RiBi,NA
SPCC16A11.02,translation,0: Translation/RiBi,NA
SPCC16A11.06c,lipid metabolic process,4: Lipids,NA
SPCC16A11.07,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC16A11.09c,transmembrane transport,6: Other metabolism,NA
SPCC16A11.10c,lipid metabolic process,4: Lipids,NA
SPCC16C4.08c,translation,0: Translation/RiBi,NA
SPCC16C4.10,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC1739.06c,sulfur compound metabolic process;tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC1739.07,translation,0: Translation/RiBi,NA
SPCC1739.09c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1739.10,vesicle-mediated transport,6: Other metabolism,NA
SPCC1753.04,carbohydrate metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPCC1795.02c,transmembrane transport,6: Other metabolism,NA
SPCC1795.03,transmembrane transport,6: Other metabolism,NA
SPCC1795.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC1795.10c,vesicle-mediated transport,6: Other metabolism,NA
SPCC1795.11,translation,0: Translation/RiBi,NA
SPCC18.05c,translation,0: Translation/RiBi,NA
SPCC18.08,cellular amino acid metabolic process,3: Amino acids,NA
SPCC18.10,vitamin metabolic process,5: Vitamins,NA
SPCC18.12c,translation,0: Translation/RiBi,NA
SPCC18.14c,translation,0: Translation/RiBi,NA
SPCC18.15,vesicle-mediated transport,6: Other metabolism,NA
SPCC18.16c,nucleobase-containing small molecule metabolic process;vitamin metabolic process,5: Vitamins,NA
SPCC18.18c,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPCC1827.01c,translation,0: Translation/RiBi,NA
SPCC1827.02c,lipid metabolic process,4: Lipids,NA
SPCC1827.03c,lipid metabolic process;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,4: Lipids,NA
SPCC1827.05c,translation,0: Translation/RiBi,NA
SPCC1827.06c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPCC1840.02c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC1840.05c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC1840.06,generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1840.07c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC1840.10,translation,0: Translation/RiBi,NA
SPCC1840.11,translation,0: Translation/RiBi,NA
SPCC188.06c,transmembrane transport,6: Other metabolism,NA
SPCC18B5.01c,transmembrane transport,6: Other metabolism,NA
SPCC18B5.05c,sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPCC18B5.06,translation,0: Translation/RiBi,NA
SPCC18B5.08c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC1906.01,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC191.02c,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPCC191.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC191.07,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC1919.02,lipid metabolic process,4: Lipids,NA
SPCC1919.09,translation,0: Translation/RiBi,NA
SPCC23B6.01c,vesicle-mediated transport,6: Other metabolism,NA
SPCC23B6.02c,translation,0: Translation/RiBi,NA
SPCC24B10.09,translation,0: Translation/RiBi,NA
SPCC24B10.17,vesicle-mediated transport,6: Other metabolism,NA
SPCC24B10.21,carbohydrate metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;canonical glycolysis,1: Glycolysis,NA
SPCC285.03,translation,0: Translation/RiBi,NA
SPCC285.04,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC285.05,nucleobase-containing small molecule metabolic process;transmembrane transport,6: Other metabolism,NA
SPCC285.08,vesicle-mediated transport,6: Other metabolism,NA
SPCC285.09c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC285.12,translation,0: Translation/RiBi,NA
SPCC285.14,vesicle-mediated transport,6: Other metabolism,NA
SPCC285.15c;SPAC25G10.06,translation,0: Translation/RiBi,NA
SPCC306.02c,vesicle-mediated transport,6: Other metabolism,NA
SPCC306.06c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC306.07c,translation,0: Translation/RiBi,NA
SPCC306.08c,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPCC31H12.04c;SPCC16C4.13c,translation,0: Translation/RiBi,NA
SPCC31H12.07,vesicle-mediated transport,6: Other metabolism,NA
SPCC320.05,transmembrane transport,6: Other metabolism,NA
SPCC320.08,transmembrane transport,6: Other metabolism,NA
SPCC320.09,tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC320.11c,translation,0: Translation/RiBi,NA
SPCC320.14,cellular amino acid metabolic process,3: Amino acids,NA
SPCC330.03c,tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC330.05c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC330.08,lipid metabolic process,4: Lipids,NA
SPCC330.09,translation,0: Translation/RiBi,NA
SPCC330.12c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC330.14c;SPAC6G9.09c,translation,0: Translation/RiBi,NA
SPCC338.10c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC338.13,vesicle-mediated transport,6: Other metabolism,NA
SPCC338.14,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC364.03,translation,0: Translation/RiBi,NA
SPCC364.04c,vesicle-mediated transport,6: Other metabolism,NA
SPCC364.05,vesicle-mediated transport,6: Other metabolism,NA
SPCC364.07,cellular amino acid metabolic process,3: Amino acids,NA
SPCC417.08,translation,0: Translation/RiBi,NA
SPCC417.10,transmembrane transport,6: Other metabolism,NA
SPCC417.11c,tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC4B3.01,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPCC4B3.02c,vesicle-mediated transport,6: Other metabolism,NA
SPCC4B3.04c,lipid metabolic process,4: Lipids,NA
SPCC4B3.05c,tetrapyrrole metabolic process,6: Other metabolism,NA
SPCC4B3.10c,carbohydrate metabolic process,6: Other metabolism,NA
SPCC4B3.18,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process;vitamin metabolic process,5: Vitamins,NA
SPCC4G3.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC4G3.16,vitamin metabolic process,5: Vitamins,NA
SPCC4G3.17,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC4G3.18,translation,0: Translation/RiBi,NA
SPCC548.06c,transmembrane transport,6: Other metabolism,NA
SPCC550.06c,transmembrane transport,6: Other metabolism,NA
SPCC550.15c,translation,0: Translation/RiBi,NA
SPCC553.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC553.08c,translation,0: Translation/RiBi,NA
SPCC569.05c,transmembrane transport,6: Other metabolism,NA
SPCC569.07,cellular amino acid metabolic process,3: Amino acids,NA
SPCC569.08c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC576.01c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC576.05,translation,0: Translation/RiBi,NA
SPCC576.07,vesicle-mediated transport,6: Other metabolism,NA
SPCC576.08c,translation,0: Translation/RiBi,NA
SPCC576.09,translation,0: Translation/RiBi,NA
SPCC576.11,translation,0: Translation/RiBi,NA
SPCC584.01c,sulfur compound metabolic process,6: Other metabolism,NA
SPCC584.04;REV__SPCC584.04,translation,0: Translation/RiBi,NA
SPCC584.05,vesicle-mediated transport,6: Other metabolism,NA
SPCC584.15c,vesicle-mediated transport,6: Other metabolism,NA
SPCC594.06c,vesicle-mediated transport,6: Other metabolism,NA
SPCC5E4.05c,lipid metabolic process,4: Lipids,NA
SPCC5E4.07,translation,0: Translation/RiBi,NA
SPCC61.01c,transmembrane transport,6: Other metabolism,NA
SPCC61.03,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC61.04c,vesicle-mediated transport,6: Other metabolism,NA
SPCC613.01,transmembrane transport,6: Other metabolism,NA
SPCC613.05c,translation,0: Translation/RiBi,NA
SPCC613.06,translation,0: Translation/RiBi,NA
SPCC613.07,translation,0: Translation/RiBi,NA
SPCC613.08,translation,0: Translation/RiBi,NA
SPCC613.10,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC622.10c,vesicle-mediated transport,6: Other metabolism,NA
SPCC622.12c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC622.14,vesicle-mediated transport,6: Other metabolism,NA
SPCC622.18,translation,0: Translation/RiBi,NA
SPCC645.03c,sulfur compound metabolic process,6: Other metabolism,NA
SPCC663.03,transmembrane transport,6: Other metabolism,NA
SPCC663.04,translation,0: Translation/RiBi,NA
SPCC70.03c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC70.06,translation,0: Translation/RiBi,NA
SPCC70.07c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC736.03c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC736.06,cellular amino acid metabolic process,3: Amino acids,NA
SPCC736.07c,translation,0: Translation/RiBi,NA
SPCC736.15,vesicle-mediated transport,6: Other metabolism,NA
SPCC737.02c,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPCC737.06c,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPCC737.08,translation,0: Translation/RiBi,NA
SPCC737.09c,transmembrane transport,6: Other metabolism,NA
SPCC74.01,vesicle-mediated transport,6: Other metabolism,NA
SPCC74.05,translation,0: Translation/RiBi,NA
SPCC757.05c,sulfur compound metabolic process,6: Other metabolism,NA
SPCC757.08,translation,0: Translation/RiBi,NA
SPCC757.13,transmembrane transport,6: Other metabolism,NA
SPCC777.04,transmembrane transport,6: Other metabolism,NA
SPCC777.09c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC777.13,vesicle-mediated transport,6: Other metabolism,NA
SPCC790.02,vesicle-mediated transport,6: Other metabolism,NA
SPCC794.01c,carbohydrate metabolic process;generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPCC794.03,transmembrane transport,6: Other metabolism,NA
SPCC794.04c,transmembrane transport,6: Other metabolism,NA
SPCC794.06,transmembrane transport,6: Other metabolism,NA
SPCC794.07,nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,6: Other metabolism,NA
SPCC794.09c,translation,0: Translation/RiBi,NA
SPCC794.10,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC794.11c,vesicle-mediated transport,6: Other metabolism,NA
SPCC794.12c;SPAC750.08c,cellular amino acid metabolic process;generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPCC825.01,translation,0: Translation/RiBi,NA
SPCC825.03c,vesicle-mediated transport,6: Other metabolism,NA
SPCC830.03,translation,0: Translation/RiBi,NA
SPCC830.07c,translation,0: Translation/RiBi,NA
SPCC830.10,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC830.11c,translation,0: Translation/RiBi,NA
SPCC962.04,translation,0: Translation/RiBi,NA
SPCC965.03,transmembrane transport,6: Other metabolism,NA
SPCC965.06,transmembrane transport,6: Other metabolism,NA
SPCC965.08c,cellular amino acid metabolic process,3: Amino acids,NA
SPCC965.11c,transmembrane transport,6: Other metabolism,NA
SPCC965.13,transmembrane transport,6: Other metabolism,NA
SPCC965.14c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCC970.05;SPBC405.07,translation,0: Translation/RiBi,NA
SPCC970.06,vesicle-mediated transport,6: Other metabolism,NA
SPCC970.09,vesicle-mediated transport,6: Other metabolism,NA
SPCP1E11.05c,lipid metabolic process,4: Lipids,NA
SPCP1E11.06,vesicle-mediated transport,6: Other metabolism,NA
SPCP1E11.08,translation,0: Translation/RiBi,NA
SPCP1E11.09c,translation,0: Translation/RiBi,NA
SPCP1E11.11,translation,0: Translation/RiBi,NA
SPCP31B10.04,vesicle-mediated transport,6: Other metabolism,NA
SPCP31B10.07;SPAC513.01c,translation,0: Translation/RiBi,NA
SPCP31B10.08c,translation,0: Translation/RiBi,NA
SPCPB16A4.03c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPCPB16A4.05c,nitrogen cycle metabolic process,6: Other metabolism,NA
SPCPB1C11.01,transmembrane transport,6: Other metabolism,NA
SPCPB1C11.02,transmembrane transport,6: Other metabolism,NA
SPCPB1C11.03,transmembrane transport,6: Other metabolism,NA
SPCPJ732.01,vesicle-mediated transport,6: Other metabolism,NA
SPCPJ732.02c,carbohydrate metabolic process,6: Other metabolism,NA
SPMIT.01,generation of precursor metabolites and energy;transmembrane transport;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPMIT.05,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPMIT.11,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
